Step,Success
2048,
4096,0.137931034
12288,
22528,
24576,0.1
32768,
43008,
45056,0.233333333
53248,
63488,
65536,0.107142857
73728,
83968,
86016,0.35483871
94208,
104448,
106496,0.2
114688,
124928,
126976,0.071428571
135168,
145408,
147456,0.071428571
155648,
165888,
167936,0
176128,
186368,
188416,0.066666667
196608,
206848,
208896,0.137931034
217088,
227328,
229376,0.142857143
237568,
247808,
249856,0.137931034
258048,
268288,
270336,0.103448276
278528,
288768,
290816,0.233333333
299008,
309248,
311296,0.068965517
319488,
329728,
331776,0.137931034
339968,
350208,
352256,0.034482759
360448,
370688,
372736,0.266666667
380928,
391168,
393216,0.1875
401408,
411648,
413696,0.2
421888,
432128,
434176,0.333333333
442368,
452608,
454656,0.166666667
462848,
473088,
475136,0.275862069
483328,
493568,
495616,0.275862069
503808,
514048,
516096,0.333333333
524288,
534528,
536576,0.333333333
544768,
555008,
557056,0.3
565248,
575488,
577536,0.366666667
585728,
595968,
598016,0.357142857
606208,
616448,
618496,0.333333333
626688,
636928,
638976,0.322580645
647168,
657408,
659456,0.35483871
667648,
677888,
679936,0.266666667
688128,
698368,
700416,0.266666667
708608,
718848,
720896,0.233333333
729088,
739328,
741376,0.275862069
749568,
759808,
761856,0.387096774
770048,
780288,
782336,0.103448276
790528,
800768,
802816,0.225806452
811008,
821248,
823296,0.3
831488,
841728,
843776,0.366666667
851968,
862208,
864256,0.266666667
872448,
882688,
884736,0.451612903
892928,
903168,
905216,0.387096774
913408,
923648,
925696,0.3
933888,
944128,
946176,0.172413793
954368,
964608,
966656,0.419354839
974848,
985088,
987136,0.419354839
995328,
1005568,
1007616,0.59375
1015808,
1026048,
1028096,0.233333333
1036288,
1046528,
1048576,0.46875
1056768,
1067008,
1069056,0.466666667
1077248,
1087488,
1089536,0.387096774
1097728,
1107968,
1110016,0.333333333
1118208,
1128448,
1130496,0.258064516
1138688,
1148928,
1150976,0.310344828
1159168,
1169408,
1171456,0.466666667
1179648,
1189888,
1191936,0.322580645
1200128,
1210368,
1212416,0.310344828
1220608,
1230848,
1232896,0.206896552
1241088,
1251328,
1253376,0.34375
1261568,
1271808,
1273856,0.387096774
1282048,
1292288,
1294336,0.3
1302528,
1312768,
1314816,0.5
1323008,
1333248,
1335296,0.548387097
1343488,
1353728,
1355776,0.482758621
1363968,
1374208,
1376256,0.466666667
1384448,
1394688,
1396736,0.433333333
1404928,
1415168,
1417216,0.466666667
1425408,
1435648,
1437696,0.5
1445888,
1456128,
1458176,0.5
1466368,
1476608,
1478656,0.566666667
1486848,
1497088,
1499136,0.433333333
1507328,
1517568,
1519616,0.625
1527808,
1538048,
1540096,0.5
1548288,
1558528,
1560576,0.5625
1568768,
1579008,
1581056,0.5625
1589248,
1599488,
1601536,0.419354839
1609728,
1619968,
1622016,0.606060606
1630208,
1640448,
1642496,0.484848485
1650688,
1660928,
1662976,0.575757576
1671168,
1681408,
1683456,0.558823529
1691648,
1701888,
1703936,0.8
1712128,
1722368,
1724416,0.628571429
1732608,
1742848,
1744896,0.828571429
1765376,0.810810811
